email_address,total_spend
Abu.Reynolds@sky.com,809.6700000000001
Ahana.Travers@apple.co.uk,569.62
Ahriyah.Mcallan@mail.com,403.46
Akie.Paton@outlook.co.uk,1093.96
Alyana.Hanlon@imail.com,813.8399999999999
Ammar.Waddell@hotmail.com,312.33
Annabelle-Rose.Dundas@protonmail.com,27.4
Anson.Allan@msn.com,205.49
Anum.Cassells@mail.net@mail.co.uk,499.39
Aspyn.Drew@yahoo.com,1137.92
Athina.Middleton@zoho.com,1093.1499999999999
Avive.Balmer@apple.com,565.35
Axiel.Long@microsoft.com,581.3
Ayva.Roche@imail.com,1803.8799999999999
Billie-Capri.Dalgliesh@imail.com,684.35
Blaike.Macnab@imail.com,667.67
Blayx.Strathdee@aol.com,649.71
Brison.Roach@virgin.co.uk,865.46
Brodhie.Mcgurk@protonmail.com,511.35
Brodie.Mclintock@outlook.co.uk,353.49
Calaidh.Mccafferty@sky.com,470.21000000000004
Callie-J.Oliver@yahoo.co.uk,319.89
Cam.Bradbury@yahoo.com,272.82
Camden.Chambers@virgin.co.uk,300.41
Cameron-James.Kumar@aol.com,678.39
Christos.Callander@btconnect.com,551.25
Colton-James.Farquhar@msn.com,779.48
Corin.Blythe@mail.net@mail.co.uk,394.72
Didam.Tosh@btinternet.com,835.15
Dina.Ewan@yahoo.co.uk,565.25
Edirissa.Kerr@outlook.co.uk,771.59
Ella-May.Healy@outlook.co.uk,57.97
Elwood.Sims@outlook.co.uk,574.08
Emilia.Chapman@zoho.com,462.15
Estie.Mclellan@outlook.com,370.45
Eva-Rose.Mcbeth@hotmail.co.uk,650.0
Eztaya.Grant@fastmail.co.uk,1144.36
Fidelis.Hoey@outlook.co.uk,245.86
Gayle.Bowden@aol.com,209.37
Haillie-Ann.Caird@protonmail.com,864.51
Hamish-John.Cameron@apple.com,702.36
Hunter-Santino.Manning@fastmail.co.uk,677.26
Ilhaana.Mcmichael@msn.com,993.14
Ilya.Henry@fastmail.com,1481.89
Imogen-Lexi.Busby@msn.com,687.89
Imrie.Crockett@outlook.com,851.3199999999999
Ioannis.Knox@protonmail.com,536.5
Janoah.Crossan@mail.com,921.17
Jemima.Dempster@apple.com,181.99
Joann.Laurenson@btconnect.com,316.61
Josie.Merry@aol.com,284.88
Joyce.Mcauley@fastmail.co.uk,500.22
Kate.Mcphillips@titanmail.com,1165.88
Keeva.Friel@fastmail.com,315.43
Kelvin-Justin.Nicholson@fastmail.co.uk,1052.85
Kennedy.Glennie@sky.com,1187.99
Keti.Melrose@virginmedia.co.uk,605.32
Krishiv.Davis@msn.com,182.25
Lacey.Georgeson@msn.com,804.7
Layla-Anne.Hodgson@outlook.co.uk,691.44
Leeland.Agnew@btconnect.com,1176.38
Lillie-Rose.Mudie@outlook.co.uk,355.61
Lilo.Bryden@talktalk.net,996.4300000000001
Lingyi.Tariq@zoho.com,966.44
Livy.Whiteford@bt.co.uk,116.33
Lokshith.Mcelhinney@mail.com,460.37
Maliah.Lewis@fastmail.co.uk,625.6899999999999
Manon.Mackie@aol.com,482.26
Marion.Ferry@bt.com,326.65999999999997
Marric.Myers@outlook.co.uk,341.64
Marta.Mcewan@bt.com,320.27
Mian.Lyon@aol.com,340.8
Milanna.George@fastmail.com,659.86
Naiyan.Mellor@zoho.com,955.68
Nerissa.Lowe@glos.ac.uk,600.2
Niaz.Foy@sky.com,1064.02
Oakleigh.Strachan@fastmail.com,236.35000000000002
Obinnaya.Bulloch@btinternet.com,311.34000000000003
Ocean.Crossan@fastmail.co.uk,951.08
Ozzy.Scobie@mail.net@mail.co.uk,120.36999999999999
Pernielle-Cheryl.Hastings@hotmail.com,925.17
Perrie-Rose.Dowie@microsoft.com,814.33
Qusai.Philp@sky.com,1272.35
Rayann.Gibbs@outlook.com,122.78999999999999
Reemas.Mclaggan@msn.com,1055.47
Rioux.Wightman@outlook.co.uk,654.21
Riso.Rae@hotmail.co.uk,604.17
Rubie-Belle.Lothian@yahoo.com,658.64
Siri.Mchugh@yahoo.com,1049.46
Taym.Monteith@mail.net@mail.co.uk,280.13
Thomas-Jordan.Telford@titanmail.com,221.25
Tova.Butler@microsoft.com,1696.23
Tywin.Collins@hotmail.com,73.8
Vahin.Cavanagh@btinternet.com,1259.06
Vanora.Emery@mail.net@mail.co.uk,1065.07
Yashika.Connolly@titanmail.com,1147.7
Yasmin.Craik@talktalk.net,740.08
